scenEPR,scenCO2,scenH2,SC,TC,LCOE,emission
3000,0,150,24.04,24.04,41.45,32.79
3000,100,150,26.32,25.85,45.38,4.69
3000,200,150,26.71,26.40,46.05,1.51
3000,300,150,26.52,27.76,45.72,-4.15
3000,400,150,26.04,27.76,44.89,-4.31
3000,500,150,25.48,28.62,43.93,-6.27
3000,0,250,24.34,24.34,41.97,32.51
3000,100,250,26.51,26.05,45.71,4.61
3000,200,250,26.92,26.54,46.41,1.88
3000,300,250,26.74,27.97,46.11,-4.08
3000,400,250,26.26,27.99,45.28,-4.31
3000,500,250,25.73,28.53,44.37,-5.60
3000,0,350,24.61,24.61,42.43,31.96
3000,100,350,26.69,26.24,46.02,4.52
3000,200,350,27.08,26.71,46.68,1.82
3000,300,350,26.92,28.08,46.42,-3.86
3000,400,350,26.45,28.18,45.60,-4.34
3000,500,350,25.94,28.37,44.72,-4.87
3000,0,450,24.82,24.82,42.79,38.15
3000,100,450,26.86,26.42,46.30,4.35
3000,200,450,27.23,26.86,46.94,1.82
3000,300,450,27.07,28.24,46.66,-3.92
3000,400,450,26.61,28.31,45.88,-4.24
3000,500,450,26.11,28.34,45.02,-4.45
3000,0,550,24.99,24.99,43.09,39.80
3000,100,550,27.01,26.59,46.58,4.23
3000,200,550,27.37,27.02,47.19,1.75
3000,300,550,27.21,28.39,46.91,-3.95
3000,400,550,26.74,28.43,46.11,-4.22
3000,500,550,26.26,28.43,45.28,-4.34
3000,0,650,25.11,25.11,43.30,47.57
3000,100,650,27.16,26.75,46.84,4.14
3000,200,650,27.51,27.17,47.43,1.68
3000,300,650,27.34,28.54,47.14,-4.00
3000,400,650,26.87,28.57,46.33,-4.25
3000,500,650,26.38,28.58,45.49,-4.39
3900,0,150,24.04,24.04,41.45,32.87
3900,100,150,26.40,25.85,45.51,5.46
3900,200,150,26.93,26.38,46.43,2.72
3900,300,150,26.87,27.94,46.32,-3.58
3900,400,150,26.45,28.04,45.60,-3.97
3900,500,150,25.99,28.15,44.81,-4.31
3900,0,250,24.34,24.34,41.97,32.51
3900,100,250,26.65,26.08,45.95,5.75
3900,200,250,27.24,26.65,46.97,2.95
3900,300,250,27.21,28.24,46.92,-3.41
3900,400,250,26.80,28.39,46.20,-3.99
3900,500,250,26.35,28.45,45.43,-4.20
3900,0,350,24.61,24.61,42.43,35.30
3900,100,350,26.85,26.29,46.30,5.68
3900,200,350,27.47,26.80,47.36,3.35
3900,300,350,27.48,28.46,47.38,-3.27
3900,400,350,27.09,28.64,46.70,-3.88
3900,500,350,26.64,28.71,45.93,-4.14
3900,0,450,24.82,24.82,42.79,38.15
3900,100,450,27.04,26.48,46.63,5.62
3900,200,450,27.66,27.01,47.68,3.25
3900,300,450,27.69,28.55,47.74,-2.87
3900,400,450,27.32,28.81,47.11,-3.71
3900,500,450,26.89,28.95,46.37,-4.11
3900,0,550,24.99,24.99,43.09,41.10
3900,100,550,27.23,26.67,46.94,5.57
3900,200,550,27.83,27.18,47.98,3.28
3900,300,550,27.85,28.75,48.02,-2.99
3900,400,550,27.51,28.93,47.43,-3.55
3900,500,550,27.09,29.10,46.71,-4.02
3900,0,650,25.11,25.11,43.30,48.11
3900,100,650,27.40,26.85,47.25,5.55
3900,200,650,28.00,27.35,48.28,3.27
3900,300,650,28.01,28.94,48.30,-3.10
3900,400,650,27.65,29.11,47.68,-3.64
3900,500,650,27.24,29.19,46.97,-3.89
4800,0,150,24.04,24.04,41.45,33.09
4800,100,150,26.40,25.85,45.51,5.48
4800,200,150,26.93,26.38,46.43,2.72
4800,300,150,26.92,27.80,46.41,-2.94
4800,400,150,26.55,28.02,45.78,-3.66
4800,500,150,26.16,28.03,45.10,-3.74
4800,0,250,24.34,24.34,41.97,32.51
4800,100,250,26.65,26.08,45.95,5.76
4800,200,250,27.24,26.66,46.97,2.93
4800,300,250,27.25,28.09,46.98,-2.80
4800,400,250,26.94,28.32,46.45,-3.45
4800,500,250,26.55,28.45,45.77,-3.80
4800,0,350,24.61,24.61,42.43,32.26
4800,100,350,26.85,26.29,46.30,5.66
4800,200,350,27.47,26.80,47.36,3.35
4800,300,350,27.51,28.30,47.43,-2.64
4800,400,350,27.24,28.47,46.97,-3.08
4800,500,350,26.88,28.78,46.35,-3.79
4800,0,450,24.82,24.82,42.79,38.15
4800,100,450,27.04,26.48,46.63,5.60
4800,200,450,27.66,27.01,47.68,3.25
4800,300,450,27.71,28.46,47.77,-2.49
4800,400,450,27.47,28.56,47.37,-2.71
4800,500,450,27.14,28.91,46.79,-3.54
4800,0,550,24.99,24.99,43.09,39.80
4800,100,550,27.23,26.67,46.94,5.61
4800,200,550,27.83,27.18,47.98,3.28
4800,300,550,27.89,28.63,48.08,-2.49
4800,400,550,27.65,28.76,47.68,-2.76
4800,500,550,27.35,29.04,47.15,-3.39
4800,0,650,25.11,25.11,43.30,47.66
4800,100,650,27.40,26.85,47.25,5.52
4800,200,650,28.00,27.35,48.28,3.27
4800,300,650,28.07,28.81,48.39,-2.49
4800,400,650,27.82,28.98,47.97,-2.89
4800,500,650,27.51,29.15,47.44,-3.28
